Parameter Source Pipeline,Detection Pipeline(s),TIC ID,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Centroid Offset,TFOP Master,TFOP SG1a,TFOP SG1b,TFOP SG2,TFOP SG3,TFOP SG4,TFOP SG5,Alerted,Updated,Vmag,Tmag,Gmag,rmag,imag,Zmag,Jmag,Hmag,Kmag,Teff,ra,dec,logg,rho,dist,eclong,eclat,Stellar Insolation [ergs/cm^2/s],Stellar Insolation [Earth Units],Observed Sectors [String],N Sectors_Observed
spoc-s14-s50-b02,SPOC,310380289,5736.01,PC,213.75861772914,49.5012949008017,213.758397095,49.5009379442,11.982,0.00728308,1738.89860346742,0.001609709,0.648986500319084,2.4366447e-05,1.058595110924,0.32323042,561.929799830587,117.976585,"[16, 49, 50]",very low SNR; v-shaped,4.66859,0.0104214,1,0.579535007476807,0.017258,1.61684731635841,0.44353673,1202.09225376121,3949.0,157.0,493.48299979353,7.809917,False,2,4,2,2,4,4,4,2022-08-18 20:04:16+00,2022-08-18 15:58:32+00,13.553,11.982,12.9042,,,,10.829,10.159,10.004,3949.0,213.75861772914,49.5012949008017,4.66859,2.93389,92.3604,183.035124776791,57.2696426266794,676199446.2884738,495.0504788537026,"Sector 16, Sector 22, Sector 23",3.0
spoc-s01s02,SPOC,316937670,221.01,EB,356.4904,-56.3447,356.492463608,-56.3440469734,11.78,0.04,1325.342966,0.001421,0.62425,3.3e-05,0.774288,0.553938,954.060325,141.39258,"[2, 1]","TFOP FP; event is on  event is on the dT= 0.24 fainter neighbor ~8"" W TIC 316937669; M dwarf; low MES USP.",4.75169,0.35062,1,0.525,0.079,1.671618,2.989466,1106.21127282771,3765.0,73.0,353.894098980242,7.4479375,False,5,5,5,5,5,5,5,2018-11-14 15:06:55+00,2022-10-03 15:15:12+00,13.82,12.1535,13.3363,,,,10.709,10.063,9.844,3460.0,356.49036861439,-56.3446719329332,4.83143,6.26566,50.1632,326.781491805101,-48.6081261009706,253076316.95760185,185.27899214360502,"Sector 1, Sector 2",2.0
spoc-s42-b02,SPOC,39926974,4526.01,KP,335.6244216,-7.9555149,335.623314512,-7.95635252398,13.345,0.008,2448.65422537103,0.0027132186,2.26026548696204,0.0004324147,1.01034931784601,0.44925383,6129.67882695305,861.4576,[42],K2-28 b,4.88,0.0,1,0.34102401137352,0.0103601,2.72623736429689,1.4096905,547.936777699069,3236.0,157.0,21.3031000651891,7.13926,False,5,5,5,5,5,5,5,2021-10-21 22:56:08+00,2021-10-21 16:34:29+00,16.526,13.3455,14.6799,15.4489,13.9086,13.1031,11.695,11.028,10.746,3236.0,335.62442159755,-7.95551487236881,4.88282,8.16519,62.9969,334.510713212311,2.04047933292824,29190850.911532853,21.370831936080073,,1.0
spoc-s01-s36-b0A-CPKP,UNKNOWN,231702397,122.01,CP,332.947,-58.9451,332.948235507,-58.9460850226,13.048,0.04,1329.12024838283,0.0009877153,5.07802548638435,1.3443171e-05,1.24141580272646,0.2258655,6130.39472316019,466.36487,"[1, 27, 28]",TOI-122 b,4.9581,0.407256,1,0.334125012159348,0.0100409,2.70904209639004,0.5059658,431.253643983621,3318.0,64.0,8.17432899325454,11.881052,False,5,5,5,5,5,5,5,2018-09-05 18:51:57+00,2021-12-01 15:01:58+00,15.526,13.084,14.3357,,,,11.531,11.02,10.771,3356.0,332.947082555841,-58.9450697244304,4.88974,8.46769,62.118,309.565382662264,-43.8407227095147,11200931.766012648,8.200282719555265,Sector 1,1.0
spoc-s01-s39-b0A-PC,UNKNOWN,73649615,756.01,PC,192.1051,-45.4706,192.103738012,-45.4704709382,12.396,0.04,2308.0043499705,0.00259373,1.23925278804549,6.727919e-06,1.14927064500414,0.17487271,2777.3856259454,195.78069,"[10, 11, 37]",,4.81257,0.359456,1,0.50762802362442,0.0151246,2.86671207184412,0.3954305,827.952726284317,3614.0,64.0,111.056290695781,15.762,False,2,4,2,2,4,4,4,2019-06-05 19:57:31+00,2022-03-21 18:56:44+00,14.607,12.5554,13.6961,,,,11.138,10.517,10.274,3533.0,192.105066451898,-45.4705966892821,4.73074,3.86476,86.1759,211.397267545893,-36.5530566748838,152177109.26415145,111.40995637498871,"Sector 10, Sector 11",2.0
spoc-s01-s46-b0A,SPOC,212957629,2406.01,CP,8.80508074932719,-3.37063545645493,8.80605442148,-3.37208329904,14.3109,0.007448,2475.9460474142,0.0024959205,3.07668275317247,1.2859529e-05,1.26039927814954,0.1418781,18996.4079681994,1150.9419,"[30, 42, 43]",TOI-2406 b now confirmed (Wells et al. 2021),5.0701,0.0262291,1,0.196600005030632,0.00604985,2.77859546772128,0.24439844,410.298428328761,3163.0,157.0,6.69761863876306,14.266813,False,5,5,5,5,5,5,5,2020-11-24 20:55:50+00,2022-07-15 15:52:05+00,,14.3109,15.6955,,,,12.633,12.129,11.894,3163.0,8.80508074932719,-3.37063545645493,5.0701,21.7997,55.419,6.75294718648718,-6.58787991104599,9177443.27910705,6.718872242371551,Sector 3,1.0
spoc-s14-s55-b0H,SPOC,120045750,5981.01,PC,283.968142716506,39.0617068126511,283.967767362,39.0622382178,11.8086,0.00735168,2423.51717175157,0.0026389682,7.01424581466326,8.121329e-05,2.65553277869672,0.452201,1867.31799224331,142.05846,"[41, 53, 54]",centroid offset only in s54; s53 and s41 on target,4.703,0.00918689,1,0.539524972438812,0.0158695,2.39547869209892,0.75464094,499.592075915102,3721.0,157.0,14.7225543821134,12.583472,False,2,4,1,1,4,4,4,2022-12-01 22:59:55+00,2022-12-01 15:51:28+00,14.42,11.8086,12.8373,13.1493,12.3636,12.426,10.496,9.872,9.653,3721.0,283.968142716506,39.0617068126511,4.703,3.41127,70.6891,293.041115910993,61.3883691777929,20173880.904688206,14.769443330692798,Sector 14,1.0
spoc-s01-s36-b02-L1,SPOC,354944123,4342.01,PC,324.386930624803,-77.978753103862,324.389419575,-77.979146752,11.0318,0.00736425,1654.53242627755,0.0015552475,5.53832899923516,3.8025082e-05,2.22638882354132,0.41871506,1407.11186478991,130.05675,"[13, 27]",potential L1 planet; near 2:1 resonance,4.65275,0.0107329,1,0.59817498922348,0.0177148,2.27214086268217,1.1171762,585.01697007936,3883.0,157.0,27.6818339104765,8.499877,False,2,4,1,1,4,4,4,2021-07-28 19:58:06+00,2021-07-28 15:42:52+00,12.669,11.0318,11.9822,,,,9.832,9.179,9.018,3883.0,324.386930624803,-77.978753103862,4.65275,2.74066,61.5204,288.696846156968,-58.1160617981914,37931266.24268376,27.76975287400196,Sector 13,1.0
qlp-s69-ffi,SPOC,262530407,177.01,CP,20.4391,-46.7144,20.438428052,-46.7147233938,9.438,0.016,3204.9632806,0.0008831,2.8531016,1.7e-06,1.142,0.173,1395.0,120.577,"[2, 3, 29, 69]",GJ 3090 b,4.76229,0.061557,1,0.52,0.02,2.02068,0.114301,610.0,3703.0,66.0,23.0419,28.0,False,5,5,5,5,5,5,5,2018-12-20 17:24:11+00,2023-10-27 19:29:35+00,11.403,9.49275,10.5521,,,,8.168,7.536,7.294,3639.0,20.439126387292,-46.7143796925629,4.72187,3.71241,22.4751,353.792042946953,-49.7397699781369,57872260.205260776,42.368697999108036,"Sector 2, Sector 3",2.0
qlp-s34-tois,QLP,149788158,727.01,PC,130.7368334,-2.4980677,130.736930668,-2.4985850341,11.0,0.007,2245.5184598,0.0032401,4.7244442,4.31e-05,0.999,0.373,1480.0,25.7038,"[8, 34]",SG1 to check if signal is real and if it is on the target or neighbor 149788157; period might be double,4.74,0.01,1,0.5,0.01,1.97562,0.283431,441.0,3653.0,157.0,6.29202,10.0,False,2,4,2,2,4,4,4,2019-05-24 18:24:57+00,2021-06-11 19:23:33+00,12.68,11.0002,12.0657,14.4583,13.0816,11.0801,9.662,9.078,8.827,3653.0,130.736833368722,-2.49806772159504,4.73985,4.02951,42.972,133.912702491276,-19.9441616998394,28403099.710215405,20.79411361492455,Sector 8,1.0
